benchmark,optimization,node,fingerprint,level,fanin_count,support_size
majority3,original,new_n5,4b25162f97402510,1,2,2
majority3,original,new_n6,1d97b69ef057d218,1,2,2
majority3,original,new_n7,3cc43bfbadb9f937,1,2,2
majority3,original,new_n8,b61898c68531f6a1,2,2,3
majority3,balance,new_n5,3cc43bfbadb9f937,1,2,2
majority3,balance,new_n6,4b25162f97402510,1,2,2
majority3,balance,new_n7,1d97b69ef057d218,1,2,2
majority3,balance,new_n8,fcf00a029cd47b95,2,2,3
majority3,refactor,new_n5,3cc43bfbadb9f937,1,2,2
majority3,refactor,new_n6,d7eeed9d11313e73,1,2,2
majority3,refactor,new_n7,464dcfbc80b0f2fa,2,2,3
majority3,resub,new_n5,3cc43bfbadb9f937,1,2,2
majority3,resub,new_n6,4b25162f97402510,1,2,2
majority3,resub,new_n7,1d97b69ef057d218,1,2,2
majority3,resub,new_n8,b61898c68531f6a1,2,2,3
majority3,resyn2_like,new_n5,bd09f4a178660800,1,2,2
majority3,resyn2_like,new_n6,1d97b69ef057d218,1,2,2
majority3,resyn2_like,new_n7,6026e0cc550be4bb,2,2,3
majority3,rewrite,new_n5,3cc43bfbadb9f937,1,2,2
majority3,rewrite,new_n6,4b25162f97402510,1,2,2
majority3,rewrite,new_n7,1d97b69ef057d218,1,2,2
majority3,rewrite,new_n8,b61898c68531f6a1,2,2,3
mux2,original,new_n5,989b98f60edcb0f6,1,2,2
mux2,original,new_n6,4743b815308fa714,1,2,2
mux2,balance,new_n5,989b98f60edcb0f6,1,2,2
mux2,balance,new_n6,4743b815308fa714,1,2,2
mux2,refactor,new_n5,989b98f60edcb0f6,1,2,2
mux2,refactor,new_n6,4743b815308fa714,1,2,2
mux2,resub,new_n5,989b98f60edcb0f6,1,2,2
mux2,resub,new_n6,4743b815308fa714,1,2,2
mux2,resyn2_like,new_n5,f3a3ad1d437aa711,1,2,2
mux2,resyn2_like,new_n6,5931f4e3e692db30,1,2,2
mux2,rewrite,new_n5,989b98f60edcb0f6,1,2,2
mux2,rewrite,new_n6,4743b815308fa714,1,2,2
toy_and_or,original,new_n6,e7864e0d207fd4c5,1,2,2
toy_and_or,original,new_n7,43edd419fc12157e,1,2,2
toy_and_or,balance,new_n6,e7864e0d207fd4c5,1,2,2
toy_and_or,balance,new_n7,43edd419fc12157e,1,2,2
toy_and_or,refactor,new_n6,e7864e0d207fd4c5,1,2,2
toy_and_or,refactor,new_n7,43edd419fc12157e,1,2,2
toy_and_or,resub,new_n6,e7864e0d207fd4c5,1,2,2
toy_and_or,resub,new_n7,43edd419fc12157e,1,2,2
toy_and_or,resyn2_like,new_n6,e7864e0d207fd4c5,1,2,2
toy_and_or,resyn2_like,new_n7,43edd419fc12157e,1,2,2
toy_and_or,rewrite,new_n6,e7864e0d207fd4c5,1,2,2
toy_and_or,rewrite,new_n7,43edd419fc12157e,1,2,2
xor_chain,original,new_n6,4a091495267f98ed,1,2,2
xor_chain,original,new_n7,e69c37e034ff2ec1,1,2,2
xor_chain,original,new_n8,25afa9f3ec302406,2,2,2
xor_chain,original,new_n9,597aa5553ea2bc85,3,2,3
xor_chain,original,new_n10,a17d090e2495ba3e,3,2,3
xor_chain,original,new_n11,1b5de8fc02772682,4,2,3
xor_chain,original,new_n12,64c66b160f25d9ce,5,2,4
xor_chain,original,new_n13,257ae95f5acaeec8,5,2,4
xor_chain,balance,new_n6,4a091495267f98ed,1,2,2
xor_chain,balance,new_n7,e69c37e034ff2ec1,1,2,2
xor_chain,balance,new_n8,25afa9f3ec302406,2,2,2
xor_chain,balance,new_n9,597aa5553ea2bc85,3,2,3
xor_chain,balance,new_n10,a17d090e2495ba3e,3,2,3
xor_chain,balance,new_n11,1b5de8fc02772682,4,2,3
xor_chain,balance,new_n12,64c66b160f25d9ce,5,2,4
xor_chain,balance,new_n13,257ae95f5acaeec8,5,2,4
xor_chain,refactor,new_n6,4a091495267f98ed,1,2,2
xor_chain,refactor,new_n7,e69c37e034ff2ec1,1,2,2
xor_chain,refactor,new_n8,25afa9f3ec302406,2,2,2
xor_chain,refactor,new_n9,597aa5553ea2bc85,3,2,3
xor_chain,refactor,new_n10,a17d090e2495ba3e,3,2,3
xor_chain,refactor,new_n11,1b5de8fc02772682,4,2,3
xor_chain,refactor,new_n12,64c66b160f25d9ce,5,2,4
xor_chain,refactor,new_n13,257ae95f5acaeec8,5,2,4
xor_chain,resub,new_n6,4a091495267f98ed,1,2,2
xor_chain,resub,new_n7,e69c37e034ff2ec1,1,2,2
xor_chain,resub,new_n8,25afa9f3ec302406,2,2,2
xor_chain,resub,new_n9,597aa5553ea2bc85,3,2,3
xor_chain,resub,new_n10,a17d090e2495ba3e,3,2,3
xor_chain,resub,new_n11,1b5de8fc02772682,4,2,3
xor_chain,resub,new_n12,64c66b160f25d9ce,5,2,4
xor_chain,resub,new_n13,257ae95f5acaeec8,5,2,4
xor_chain,resyn2_like,new_n6,6334802f019e35b8,1,2,2
xor_chain,resyn2_like,new_n7,e7864e0d207fd4c5,1,2,2
xor_chain,resyn2_like,new_n8,a0d456d97ce49900,2,2,2
xor_chain,resyn2_like,new_n9,44ab2dc144b8b1e5,1,2,2
xor_chain,resyn2_like,new_n10,43edd419fc12157e,1,2,2
xor_chain,resyn2_like,new_n11,ad889d08448b6125,2,2,2
xor_chain,resyn2_like,new_n12,2c8200904442756b,3,2,4
xor_chain,resyn2_like,new_n13,b1cfea6a330432f6,3,2,4
xor_chain,rewrite,new_n6,4a091495267f98ed,1,2,2
xor_chain,rewrite,new_n7,e69c37e034ff2ec1,1,2,2
xor_chain,rewrite,new_n8,25afa9f3ec302406,2,2,2
xor_chain,rewrite,new_n9,597aa5553ea2bc85,3,2,3
xor_chain,rewrite,new_n10,a17d090e2495ba3e,3,2,3
xor_chain,rewrite,new_n11,1b5de8fc02772682,4,2,3
xor_chain,rewrite,new_n12,64c66b160f25d9ce,5,2,4
xor_chain,rewrite,new_n13,257ae95f5acaeec8,5,2,4
